id,card_name,foundry,process_size,transistors,die_size,architecture,slot_width,tdp,base_clock,mem_clock,directX_ver,opengl_ver,opencl_ver,vulkan_ver,cuda_ver,shader_model_ver,mem_size,mem_type,mem_bus,bandwidth,pixel_rate,texture_rate,FP16_rate,FP32_rate,FP64_rate,shading_units,production_status,release_date
10,ATI Radeon X300 SE HyperMemory,TSMC,110 nm,107 million,74 mm²,R300,Single-slot,30 W,,"300 MHz
										
					600 Mbps effective",9.0,2.0,N/A,N/A,,,128 MB,DDR,64 bit,4.800 GB/s,1.300 GPixel/s,1.300 GTexel/s,,,,,End-of-life,"Oct 25th, 2006"
11,AMD Radeon PRO W7900,TSMC,5 nm,"57,700 million",529 mm²,RDNA 3.0,Triple-slot,295 W,1855 MHz,"2250 MHz
										
					18 Gbps effective",12 Ultimate (12_2),4.6,2.2,1.3,,6.7,48 GB,GDDR6,384 bit,864.0 GB/s,479.0 GPixel/s,958.1 GTexel/s,122.6 TFLOPS (2:1),61.32 TFLOPS,1.916 TFLOPS (1:32),6144,Active,"Apr 13th, 2023"
12,NVIDIA GeForce 830A,TSMC,28 nm,unknown,unknown,Maxwell,IGP,33 W,1082 MHz,"1001 MHz
										
					2 Gbps effective",12 (11_0),4.6,3.0,1.3,5.0,6.7 (5.1),2 GB,DDR3,64 bit,16.02 GB/s,9.200 GPixel/s,18.40 GTexel/s,,588.8 GFLOPS,18.40 GFLOPS (1:32),256,End-of-life,"Jul 22nd, 2014"
13,ATI Radeon X800,TSMC,110 nm,160 million,240 mm²,R400,Single-slot,30 W,,"350 MHz
										
					700 Mbps effective",9.0b (9_2),2.1,N/A,N/A,,,256 MB,DDR,256 bit,22.40 GB/s,4.800 GPixel/s,4.800 GTexel/s,,,,,End-of-life,"Dec 1st, 2004"
14,Intel Lincroft,Intel,45 nm,140 million,62 mm²,PowerVR SGX535,,,,,10.1,ES 2.0,N/A,N/A,,4.1,,,,,,,,,,32,,"May 4th, 2010"
15,NVIDIA Quadro M5500 Mobile,TSMC,28 nm,"5,200 million",398 mm²,Maxwell 2.0,MXM Module,150 W,1140 MHz,"1753 MHz
										
					7 Gbps effective",12 (12_1),4.6,3.0,1.3,5.2,6.7 (6.4),8 GB,GDDR5,256 bit,224.4 GB/s,74.56 GPixel/s,149.1 GTexel/s,,4.772 TFLOPS,149.1 GFLOPS (1:32),2048,End-of-life,"Apr 8th, 2016"
16,NVIDIA Tesla V100 DGXS 32 GB,TSMC,12 nm,"21,100 million",815 mm²,Volta,Dual-slot,250 W,1297 MHz,"876 MHz
										
					1752 Mbps effective",12 (12_1),4.6,3.0,1.3,7.0,6.7,32 GB,HBM2,4096 bit,897.0 GB/s,195.8 GPixel/s,489.6 GTexel/s,31.33 TFLOPS (2:1),15.67 TFLOPS,7.834 TFLOPS (1:2),5120,End-of-life,"Mar 27th, 2018"
17,NVIDIA GeForce 810M,TSMC,28 nm,585 million,116 mm²,Fermi 2.0,IGP,15 W,738 MHz,"900 MHz
										
					1800 Mbps effective",12 (11_0),4.6,1.1,N/A,2.1,5.1,1024 MB,DDR3,64 bit,14.40 GB/s,1.776 GPixel/s,7.104 GTexel/s,,85.25 GFLOPS,7.104 GFLOPS (1:12),48,End-of-life,"Mar 24th, 2014"
18,ATI M24,TSMC,130 nm,75 million,92 mm²,R300,,,,,9.0b,2.0,N/A,N/A,,,,,,,,,,,,,,"Jun 1st, 2004"
19,NVIDIA GeForce Go 6600 TE,TSMC,110 nm,146 million,154 mm²,Curie,IGP,unknown,,"200 MHz
										
					400 Mbps effective",9.0c (9_3),"2.0 (full)
					2.1 (partial)",N/A,N/A,,3.0,128 MB,DDR,128 bit,6.400 GB/s,900.0 MPixel/s,1.800 GTexel/s,,,,,End-of-life,"Sep 29th, 2005"
20,NVIDIA STG-2000,ST,500 nm,1 million,135 mm²,,Single-slot,2 W,,50 MHz,1.0,N/A,N/A,N/A,,,1 MB,FPM,64 bit,400.0 MB/s,75.00 MPixel/s,75.00 MTexel/s,,,,,End-of-life,"Sep 30th, 1995"
21,NVIDIA C67,,90 nm,112 million,81 mm²,Curie,,,,,9.0c (9_3),"2.0 (full)
					2.1 (partial)",N/A,N/A,,3.0,,,,,,,,,,,,"Feb 1st, 2006"
22,NVIDIA Tesla V100 FHHL,TSMC,12 nm,"21,100 million",815 mm²,Volta,Single-slot,250 W,937 MHz,"808 MHz
										
					1616 Mbps effective",12 (12_1),4.6,3.0,1.3,7.0,6.7,16 GB,HBM2,4096 bit,827.4 GB/s,165.1 GPixel/s,412.8 GTexel/s,26.42 TFLOPS (2:1),13.21 TFLOPS,6.605 TFLOPS (1:2),5120,End-of-life,"Mar 27th, 2018"
23,ATI Radeon X300 SE,TSMC,110 nm,107 million,74 mm²,R300,Single-slot,30 W,,"200 MHz
										
					400 Mbps effective",9.0,2.0,N/A,N/A,,,64 MB,DDR,64 bit,3.200 GB/s,1.300 GPixel/s,1.300 GTexel/s,,,,,End-of-life,"Sep 1st, 2004"
24,Intel Arc A770M,TSMC,6 nm,"21,700 million",406 mm²,Generation 12.7,IGP,120 W,1650 MHz,"2000 MHz
										
					16 Gbps effective",12 Ultimate (12_2),4.6,3.0,1.3,,6.6,16 GB,GDDR6,256 bit,512.0 GB/s,262.4 GPixel/s,524.8 GTexel/s,33.59 TFLOPS (2:1),16.79 TFLOPS,,4096,Active,2022
25,NVIDIA GeForce GT 320M,TSMC,40 nm,486 million,100 mm²,Tesla 2.0,IGP,23 W,,"790 MHz
										
					1580 Mbps effective",11.1 (10_1),3.3,1.1,N/A,1.2,4.1,1024 MB,DDR3,128 bit,25.28 GB/s,4.000 GPixel/s,4.000 GTexel/s,,52.80 GFLOPS,,24,End-of-life,"Mar 3rd, 2010"
26,NVIDIA Quadro RTX 6000 Mobile,TSMC,12 nm,"18,600 million",754 mm²,Turing,IGP,unknown,1275 MHz,"1750 MHz
										
					14 Gbps effective",12 Ultimate (12_2),4.6,3.0,1.3,7.5,6.7,24 GB,GDDR6,384 bit,672.0 GB/s,139.7 GPixel/s,419.0 GTexel/s,26.82 TFLOPS (2:1),13.41 TFLOPS,419.0 GFLOPS (1:32),4608,Active,"Sep 4th, 2019"
27,ATI Fire GL2,IBM,180 nm,unknown,156 mm²,IBM,Single-slot,unknown,,"120 MHz
										
					240 Mbps effective",6.0,1.2,N/A,N/A,,,64 MB,DDR,256 bit,7.680 GB/s,120.0 MPixel/s,480.0 MTexel/s,,,,,End-of-life,"Jun 1st, 2000"
28,AMD Whistler,TSMC,40 nm,716 million,118 mm²,TeraScale 2,,,,,11.2 (11_0),4.4,1.2,N/A,,5.0,,,,,,,,,,480,,"Jan 4th, 2011"
29,AMD Cypress,TSMC,40 nm,"2,154 million",334 mm²,TeraScale 2,,,,,11.2 (11_0),4.4,1.2,N/A,,5.0,,,,,,,,,,1600,,"Jun 1st, 2010"
30,AMD Radeon HD 6530M,TSMC,40 nm,627 million,104 mm²,TeraScale 2,MXM Module,26 W,,"900 MHz
										
					1800 Mbps effective",11.2 (11_0),4.4,1.2,N/A,,5.0,1024 MB,DDR3,128 bit,28.80 GB/s,3.600 GPixel/s,9.000 GTexel/s,,360.0 GFLOPS,,400,End-of-life,"Nov 26th, 2010"
31,NVIDIA GeForce 7300 GT,TSMC,80 nm,177 million,100 mm²,Curie,Single-slot,24 W,,"325 MHz
										
					650 Mbps effective",9.0c (9_3),2.1,N/A,N/A,,3.0,128 MB,DDR2,128 bit,10.40 GB/s,2.800 GPixel/s,2.800 GTexel/s,,,,,End-of-life,"May 15th, 2006"
32,NVIDIA GeForce GTX 280,TSMC,65 nm,"1,400 million",576 mm²,Tesla 2.0,Dual-slot,236 W,,"1107 MHz
										
					2.2 Gbps effective",11.1 (10_0),3.3,1.1,N/A,1.3,4.0,1024 MB,GDDR3,512 bit,141.7 GB/s,19.26 GPixel/s,48.16 GTexel/s,,622.1 GFLOPS,77.76 GFLOPS (1:8),240,End-of-life,"Jun 16th, 2008"
33,AMD Radeon VII,TSMC,7 nm,"13,230 million",331 mm²,GCN 5.1,Dual-slot,295 W,1400 MHz,"1000 MHz
										
					2 Gbps effective",12 (12_1),4.6,2.1,1.3,,6.7,16 GB,HBM2,4096 bit,"1,024 GB/s",112.0 GPixel/s,420.0 GTexel/s,26.88 TFLOPS (2:1),13.44 TFLOPS,3.360 TFLOPS (1:4),3840,Active,"Feb 7th, 2019"
34,NVIDIA GeForce 315M,TSMC,40 nm,260 million,57 mm²,Tesla 2.0,IGP,14 W,,"790 MHz
										
					1580 Mbps effective",11.1 (10_1),3.3,1.1,N/A,1.2,4.1,512 MB,GDDR3,64 bit,12.64 GB/s,2.424 GPixel/s,4.848 GTexel/s,,38.78 GFLOPS,,16,End-of-life,"Jan 5th, 2011"
35,AMD Radeon Vega 11 Embedded,GlobalFoundries,14 nm,"4,940 million",210 mm²,GCN 5.0,IGP,25 W,300 MHz,System Shared,12 (12_1),4.6,2.1,1.3,,6.7,System Shared,System Shared,System Shared,System Dependent,10.41 GPixel/s,57.24 GTexel/s,3.664 TFLOPS (2:1),1.832 TFLOPS,114.5 GFLOPS (1:16),704,Active,"Feb 13th, 2018"
36,AMD Radeon RX 6450M,TSMC,6 nm,"5,400 million",107 mm²,RDNA 2.0,IGP,50 W,2000 MHz,"2000 MHz
										
					16 Gbps effective",12 Ultimate (12_2),4.6,2.2,1.3,,6.7,4 GB,GDDR6,64 bit,128.0 GB/s,78.72 GPixel/s,118.1 GTexel/s,7.557 TFLOPS (2:1),3.779 TFLOPS,236.2 GFLOPS (1:16),768,Active,"Jan 4th, 2023"
37,NVIDIA GeForce 845M,TSMC,28 nm,"1,870 million",148 mm²,Maxwell,IGP,45 W,863 MHz,"1001 MHz
										
					2 Gbps effective",12 (11_0),4.6,3.0,1.3,5.0,6.7 (5.1),2 GB,DDR3,64 bit,16.02 GB/s,13.81 GPixel/s,27.62 GTexel/s,,883.7 GFLOPS,27.62 GFLOPS (1:32),512,End-of-life,"Feb 7th, 2015"
38,AMD Radeon HD 7870 GHz Edition,TSMC,28 nm,"2,800 million",212 mm²,GCN 1.0,Dual-slot,175 W,,"1200 MHz
										
					4.8 Gbps effective",12 (11_1),4.6,2.1 (1.2),1.2.170,,6.5 (5.1),2 GB,GDDR5,256 bit,153.6 GB/s,32.00 GPixel/s,80.00 GTexel/s,,2.560 TFLOPS,160.0 GFLOPS (1:16),1280,End-of-life,"Mar 5th, 2012"
39,NVIDIA GeForce GTX 675MX,TSMC,28 nm,"3,540 million",294 mm²,Kepler,MXM Module,100 W,,"900 MHz
										
					3.6 Gbps effective",12 (11_0),4.6,3.0,1.2.175,3.0,6.5 (5.1),2 GB,GDDR5,256 bit,115.2 GB/s,13.08 GPixel/s,52.32 GTexel/s,,"1,256 GFLOPS",52.32 GFLOPS (1:24),960,End-of-life,"Oct 1st, 2012"
40,NVIDIA GeForce MX330,Samsung,14 nm,"1,800 million",74 mm²,Pascal,IGP,10 W,1531 MHz,"1752 MHz
										
					7 Gbps effective",12 (12_1),4.6,3.0,1.3,6.1,6.7,2 GB,GDDR5,64 bit,56.06 GB/s,25.50 GPixel/s,38.26 GTexel/s,19.13 GFLOPS (1:64),"1,224 GFLOPS",38.26 GFLOPS (1:32),384,End-of-life,"Feb 10th, 2020"
41,AMD Radeon RX 5600M,TSMC,7 nm,"10,300 million",251 mm²,RDNA 1.0,IGP,150 W,1035 MHz,"1500 MHz
										
					12 Gbps effective",12 (12_1),4.6,2.1,1.3,,6.7,6 GB,GDDR6,192 bit,288.0 GB/s,80.96 GPixel/s,182.2 GTexel/s,11.66 TFLOPS (2:1),5.829 TFLOPS,364.3 GFLOPS (1:16),2304,Active,"Jul 7th, 2020"
42,ATI Mobility Radeon 9800,TSMC,130 nm,160 million,281 mm²,R400,,unknown,,"300 MHz
										
					600 Mbps effective",9.0b (9_2),2.1,N/A,N/A,,,256 MB,DDR,256 bit,19.20 GB/s,2.800 GPixel/s,2.800 GTexel/s,,,,,End-of-life,"Jul 1st, 2004"
43,NVIDIA GeForce 7050 + nForce 630i,,90 nm,112 million,81 mm²,Curie,IGP,unknown,500 MHz,System Shared,9.0c (9_3),"2.0 (full)
					2.1 (partial)",N/A,N/A,,3.0,System Shared,System Shared,System Shared,System Dependent,1.260 GPixel/s,1.260 GTexel/s,,,,,End-of-life,"Oct 4th, 2007"
44,AMD Radeon HD 7950 Boost,TSMC,28 nm,"4,313 million",352 mm²,GCN 1.0,Dual-slot,200 W,850 MHz,"1250 MHz
										
					5 Gbps effective",12 (11_1),4.6,2.1 (1.2),1.2.170,,6.5 (5.1),3 GB,GDDR5,384 bit,240.0 GB/s,29.60 GPixel/s,103.6 GTexel/s,,3.315 TFLOPS,828.8 GFLOPS (1:4),1792,End-of-life,"Jun 22nd, 2012"
45,ATI Mobility FireGL 7800,TSMC,150 nm,60 million,68 mm²,Rage 7,IGP,27 W,,"200 MHz
										
					400 Mbps effective",7.0,1.3,N/A,N/A,,,64 MB,DDR,128 bit,6.400 GB/s,560.0 MPixel/s,560.0 MTexel/s,,,,,End-of-life,"Sep 29th, 2001"
46,ATI RV635,TSMC,55 nm,378 million,135 mm²,TeraScale,,,,,10.1 (10_1),3.3,N/A,N/A,,4.1,,,,,,,,,,120,,"Jun 28th, 2007"
47,NVIDIA GeForce PCX 5300,TSMC,150 nm,45 million,91 mm²,Rankine,Single-slot,unknown,,"200 MHz
										
					400 Mbps effective",9.0a,"1.5 (full)
					2.0 (partial)",N/A,N/A,,,128 MB,DDR,128 bit,6.400 GB/s,1.000 GPixel/s,1.000 GTexel/s,,,,,End-of-life,"Feb 17th, 2004"
48,NVIDIA GeForce 7600 GT AGP,TSMC,80 nm,177 million,100 mm²,Curie,Single-slot,40 W,,"700 MHz
										
					1400 Mbps effective",9.0c (9_3),2.1,N/A,N/A,,3.0,256 MB,GDDR3,128 bit,22.40 GB/s,4.480 GPixel/s,6.720 GTexel/s,,,,,End-of-life,"Jan 8th, 2007"
49,NVIDIA GeForce 6200 LE,TSMC,110 nm,75 million,110 mm²,Curie,Single-slot,unknown,,"266 MHz
										
					532 Mbps effective",9.0c (9_3),"2.0 (full)
					2.1 (partial)",N/A,N/A,,3.0,64 MB,DDR2,32 bit,2.128 GB/s,700.0 MPixel/s,700.0 MTexel/s,,,,,End-of-life,"Apr 4th, 2005"
50,NVIDIA Quadro NVS 150M,UMC,65 nm,210 million,86 mm²,Tesla,MXM Module,10 W,,"700 MHz
										
					1400 Mbps effective",11.1 (10_0),3.3,1.1,N/A,1.1,4.0,256 MB,GDDR3,64 bit,11.20 GB/s,2.120 GPixel/s,2.120 GTexel/s,,20.80 GFLOPS,,8,End-of-life,"Aug 15th, 2008"
51,NVIDIA GeForce 710A,TSMC,28 nm,"1,020 million",87 mm²,Kepler 2.0,,15 W,719 MHz,"1001 MHz
										
					2 Gbps effective",12 (11_0),4.6,3.0,1.2.175,3.5,6.5 (5.1),1024 MB,DDR3,64 bit,16.02 GB/s,6.064 GPixel/s,12.13 GTexel/s,,291.1 GFLOPS,12.13 GFLOPS (1:24),192,End-of-life,"Mar 17th, 2014"
52,NVIDIA GeForce 7100 + nForce 630i,,90 nm,112 million,81 mm²,Curie,IGP,unknown,,System Shared,9.0c (9_3),"2.0 (full)
					2.1 (partial)",N/A,N/A,,3.0,System Shared,System Shared,System Shared,System Dependent,1.200 GPixel/s,1.200 GTexel/s,,,,,End-of-life,"Oct 4th, 2007"
53,NVIDIA GeForce 8200M G mGPU Intel,,65 nm,314 million,144 mm²,Tesla,IGP,12 W,,System Shared,11.1 (10_0),3.3,N/A,N/A,,4.0,System Shared,System Shared,System Shared,System Dependent,1.600 GPixel/s,3.200 GTexel/s,,25.60 GFLOPS,,16,End-of-life,"Jun 3rd, 2008"
54,ATI Radeon X850 PRO AGP,TSMC,130 nm,160 million,297 mm²,R400,Single-slot,unknown,,"500 MHz
										
					1000 Mbps effective",9.0b (9_2),2.1,N/A,N/A,,,256 MB,GDDR3,256 bit,32.00 GB/s,6.000 GPixel/s,6.000 GTexel/s,,,,,End-of-life,"Sep 4th, 2005"
55,NVIDIA GeForce RTX 3060 3840SP,Samsung,8 nm,"12,000 million",276 mm²,Ampere,Dual-slot,185 W,1627 MHz,"1750 MHz
										
					14 Gbps effective",12 Ultimate (12_2),4.6,3.0,1.3,8.6,6.7,6 GB,GDDR6,192 bit,336.0 GB/s,88.90 GPixel/s,222.2 GTexel/s,14.22 TFLOPS (1:1),14.22 TFLOPS,222.2 GFLOPS (1:64),3840,Active,2021
56,NVIDIA GeForce GTX 760 Ti OEM,TSMC,28 nm,"3,540 million",294 mm²,Kepler,Dual-slot,170 W,915 MHz,"1502 MHz
										
					6 Gbps effective",12 (11_0),4.6,3.0,1.2.175,3.0,6.5 (5.1),2 GB,GDDR5,256 bit,192.3 GB/s,27.44 GPixel/s,109.8 GTexel/s,,2.634 TFLOPS,109.8 GFLOPS (1:24),1344,End-of-life,"Sep 27th, 2013"
57,ATI Radeon 9700,TSMC,150 nm,110 million,215 mm²,R300,Single-slot,37 W,,"270 MHz
										
					540 Mbps effective",9.0 (9_0),2.0,N/A,N/A,,,128 MB,DDR,256 bit,17.28 GB/s,2.200 GPixel/s,2.200 GTexel/s,,,,,End-of-life,"Aug 19th, 2002"
58,AMD Radeon R7 250 OEM,TSMC,28 nm,950 million,77 mm²,GCN 1.0,Dual-slot,65 W,1000 MHz,"1000 MHz
										
					2 Gbps effective",12 (11_1),4.6,2.1 (1.2),1.2.170,,6.5 (5.1),2 GB,DDR3,128 bit,32.00 GB/s,8.400 GPixel/s,25.20 GTexel/s,,806.4 GFLOPS,50.40 GFLOPS (1:16),384,End-of-life,"Oct 8th, 2013"
59,ATI Radeon DDR VIVO OEM,TSMC,180 nm,30 million,115 mm²,Rage 6,Single-slot,unknown,,"166 MHz
										
					332 Mbps effective",7.0,1.3,N/A,N/A,,,64 MB,DDR,128 bit,5.312 GB/s,332.0 MPixel/s,996.0 MTexel/s,,,,,End-of-life,"Aug 14th, 2001"
60,ATI All-In-Wonder 3D Rage II+ DVD,UMC,500 nm,5 million,86 mm²,Mach,Single-slot,unknown,,83 MHz,5.0,N/A,N/A,N/A,,,4 MB,SDR,64 bit,664.0 MB/s,60.00 MPixel/s,60.00 MTexel/s,,,,,End-of-life,"Sep 1st, 1996"
61,Matrox Parhelia DL256,UMC,150 nm,80 million,174 mm²,Parhelia,Single-slot,unknown,,"250 MHz
										
					500 Mbps effective",8.1,1.3,N/A,N/A,,,256 MB,DDR,64 bit,4.000 GB/s,800.0 MPixel/s,3.200 GTexel/s,,,,,End-of-life,2003
62,AMD Radeon Pro WX 5100,GlobalFoundries,14 nm,"5,700 million",232 mm²,GCN 4.0,Single-slot,75 W,713 MHz,"1250 MHz
										
					5 Gbps effective",12 (12_0),4.6,2.1,1.3,,6.7,8 GB,GDDR5,256 bit,160.0 GB/s,34.75 GPixel/s,121.6 GTexel/s,3.892 TFLOPS (1:1),3.892 TFLOPS,243.3 GFLOPS (1:16),1792,Active,"Nov 18th, 2016"
63,AMD Xbox One S GPU,TSMC,16 nm,"5,000 million",240 mm²,GCN 1.0,,95 W,,"1066 MHz
										
					2.1 Gbps effective",12 (11_1),N/A,1.2,1.1,,5.1,8 GB,DDR3,256 bit,68.22 GB/s,14.62 GPixel/s,43.87 GTexel/s,,"1,404 GFLOPS",,768,End-of-life,"Aug 2nd, 2016"
64,AMD Radeon R9 M395X,TSMC,28 nm,"5,000 million",366 mm²,GCN 3.0,MXM Module,75 W,,"1250 MHz
										
					5 Gbps effective",12 (12_0),4.6,2.1,1.2.170,,6.5,8 GB,GDDR5,256 bit,160.0 GB/s,23.14 GPixel/s,92.54 GTexel/s,2.961 TFLOPS (1:1),2.961 TFLOPS,185.1 GFLOPS (1:16),2048,End-of-life,"May 5th, 2015"
65,NVIDIA GeForce 8800 GTS Core 112,TSMC,90 nm,681 million,484 mm²,Tesla,Dual-slot,150 W,,"800 MHz
										
					1600 Mbps effective",11.1 (10_0),3.3,1.1 (1.0),N/A,1.0,4.0,640 MB,GDDR3,320 bit,64.00 GB/s,10.00 GPixel/s,28.00 GTexel/s,,268.8 GFLOPS,,112,End-of-life,"Nov 19th, 2007"
66,NVIDIA GRID RTX T10-8,TSMC,12 nm,"18,600 million",754 mm²,Turing,Dual-slot,260 W,1065 MHz,"1750 MHz
										
					14 Gbps effective",12 Ultimate (12_2),4.6,3.0,1.3,7.5,6.7,8 GB,GDDR6,384 bit,672.0 GB/s,133.9 GPixel/s,401.8 GTexel/s,25.71 TFLOPS (2:1),12.86 TFLOPS,401.8 GFLOPS (1:32),4608,Active,Unknown
67,ATI Radeon X1650 PRO,TSMC,90 nm,157 million,150 mm²,Ultra-Threaded SE,Single-slot,unknown,,"700 MHz
										
					1400 Mbps effective",9.0c (9_3),2.1,N/A,N/A,,3.0,256 MB,GDDR3,128 bit,22.40 GB/s,2.400 GPixel/s,2.400 GTexel/s,,,,,End-of-life,"Feb 1st, 2007"
68,NVIDIA GeForce 7300 GT,TSMC,90 nm,177 million,125 mm²,Curie,Single-slot,24 W,,"325 MHz
										
					650 Mbps effective",9.0c (9_3),2.1,N/A,N/A,,3.0,128 MB,DDR2,128 bit,10.40 GB/s,2.800 GPixel/s,2.800 GTexel/s,,,,,End-of-life,"May 15th, 2006"
69,Intel UHD Graphics 610,Intel,14 nm+++,unknown,unknown,Generation 9.5,IGP,15 W,350 MHz,System Shared,12 (12_1),4.6,3.0,1.3,,6.4,System Shared,System Shared,System Shared,System Dependent,2.100 GPixel/s,12.60 GTexel/s,403.2 GFLOPS (2:1),201.6 GFLOPS,50.40 GFLOPS (1:4),96,Active,"Apr 30th, 2020"
70,NVIDIA GeForce 6800 GS,TSMC,130 nm,222 million,287 mm²,Curie,Single-slot,unknown,,"500 MHz
										
					1000 Mbps effective",9.0c (9_3),"2.0 (full)
					2.1 (partial)",N/A,N/A,,3.0,256 MB,GDDR3,256 bit,32.00 GB/s,4.200 GPixel/s,4.200 GTexel/s,,,,,End-of-life,"Dec 8th, 2005"
71,Intel HD Graphics 5600 Mobile,Intel,14 nm,unknown,unknown,Generation 8.0,IGP,15 W,300 MHz,System Shared,12 (11_1),4.4,3.0,1.0,,5.1,System Shared,System Shared,System Shared,System Dependent,3.150 GPixel/s,25.20 GTexel/s,,403.2 GFLOPS,100.8 GFLOPS (1:4),192,End-of-life,"Sep 5th, 2014"
72,AMD Scrapper Lite,GlobalFoundries,32 nm,"1,303 million",246 mm²,TeraScale 3,,,,,11.2 (11_0),4.4,1.2,N/A,,5.0,,,,,,,,,,128,,"Jun 6th, 2012"
73,ATI Radeon HD 3690,TSMC,55 nm,666 million,192 mm²,TeraScale,Dual-slot,75 W,,"830 MHz
										
					1660 Mbps effective",10.1 (10_1),"3.3 (full)
					4.0 (partial)",N/A,N/A,,4.1,256 MB,GDDR3,128 bit,26.56 GB/s,10.72 GPixel/s,10.72 GTexel/s,,428.8 GFLOPS,85.76 GFLOPS (1:5),320,End-of-life,"Mar 30th, 2008"
74,NVIDIA Quadro 3000M,TSMC,40 nm,"1,950 million",332 mm²,Fermi,MXM Module,75 W,,"625 MHz
										
					2.5 Gbps effective",12 (11_0),4.6,1.1,N/A,2.1,5.1,2 GB,GDDR5,256 bit,80.00 GB/s,4.500 GPixel/s,18.00 GTexel/s,,432.0 GFLOPS,36.00 GFLOPS (1:12),240,End-of-life,"Feb 22nd, 2011"
75,ATI Radeon HD 4580,TSMC,55 nm,378 million,135 mm²,TeraScale,Single-slot,65 W,,"693 MHz
										
					1386 Mbps effective",10.1 (10_1),3.3,N/A,N/A,,4.1,512 MB,GDDR3,128 bit,22.18 GB/s,3.184 GPixel/s,6.368 GTexel/s,,191.0 GFLOPS,,120,End-of-life,"Nov 20th, 2011"
